EXTRACTOR|MEASURE|MODEL|FILTER|ROC_AUC|AUC_PR|Max. f1
ResNet50V2_Stack3|per patch|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.89171828|0.24271707|0.31382735
ResNet50V2_Stack3|per patch|BalancedDistributionSVG/500/21/0.30|(2, 0, 0)|0.88707067|0.20411178|0.30174419
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.20|None|0.63188677|0.65079245|0.63333333
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.50|None|0.64136156|0.57636304|0.64730290
ResNet50V2_Stack3|per frame (max)|SVG|None|0.59597614|0.53512084|0.62641509
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.50|None|0.63013218|0.64686840|0.63559322
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.20|None|0.60860919|0.52834243|0.64000000
ResNet50V2_Stack3|per frame (max)|BalancedDistributionSVG/500/21/0.30|None|0.57620774|0.52048886|0.62406015
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.20|(1, 1, 1)|0.63621476|0.63269629|0.65178571
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.64218037|0.55505210|0.65271967
ResNet50V2_Stack3|per frame (max)|SVG|(1, 1, 1)|0.63095099|0.56713119|0.64341085
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.50|(1, 1, 1)|0.64136156|0.64167638|0.65178571
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.57480407|0.49622972|0.63934426
ResNet50V2_Stack3|per frame (max)|BalancedDistributionSVG/500/21/0.30|(1, 1, 1)|0.60545093|0.56835338|0.63846154
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.20|(2, 2, 2)|0.67072172|0.61861618|0.66331658
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.69154287|0.59795644|0.68000000
ResNet50V2_Stack3|per frame (max)|SVG|(2, 2, 2)|0.69107498|0.68048067|0.65240642
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.50|(2, 2, 2)|0.67879284|0.62799815|0.66666667
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.61773307|0.53999975|0.64489796
ResNet50V2_Stack3|per frame (max)|BalancedDistributionSVG/500/21/0.30|(2, 2, 2)|0.65902445|0.66024337|0.64390244
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.20|(0, 1, 1)|0.69084103|0.67961723|0.66972477
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.70218739|0.61844481|0.67942584
ResNet50V2_Stack3|per frame (max)|SVG|(0, 1, 1)|0.67504971|0.62624054|0.65486726
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.50|(0, 1, 1)|0.69306352|0.68413413|0.67248908
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.66007720|0.56073941|0.66367713
ResNet50V2_Stack3|per frame (max)|BalancedDistributionSVG/500/21/0.30|(0, 1, 1)|0.64498772|0.62849364|0.63829787
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.20|(0, 2, 2)|0.68861855|0.65998049|0.67619048
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.72780442|0.67827098|0.66371681
ResNet50V2_Stack3|per frame (max)|SVG|(0, 2, 2)|0.66148087|0.62225355|0.64069264
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.50|(0, 2, 2)|0.68920342|0.66739929|0.66981132
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.69551994|0.63994258|0.65789474
ResNet50V2_Stack3|per frame (max)|BalancedDistributionSVG/500/21/0.30|(0, 2, 2)|0.63586384|0.64572331|0.62564103
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.20|(1, 0, 0)|0.62171014|0.63637778|0.64166667
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.65247397|0.55790272|0.68103448
ResNet50V2_Stack3|per frame (max)|SVG|(1, 0, 0)|0.59445549|0.47990089|0.66666667
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.50|(1, 0, 0)|0.62849456|0.63735683|0.64705882
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.58860685|0.49090817|0.67213115
ResNet50V2_Stack3|per frame (max)|BalancedDistributionSVG/500/21/0.30|(1, 0, 0)|0.58041876|0.48117423|0.65517241
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.20|(2, 0, 0)|0.60989589|0.60765362|0.63598326
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.62592116|0.53457729|0.65863454
ResNet50V2_Stack3|per frame (max)|SVG|(2, 0, 0)|0.64756112|0.50304985|0.68750000
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/0.50|(2, 0, 0)|0.63352439|0.62341980|0.63745020
ResNet50V2_Stack3|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.52789800|0.45634460|0.65079365
ResNet50V2_Stack3|per frame (max)|BalancedDistributionSVG/500/21/0.30|(2, 0, 0)|0.61761610|0.49279918|0.68067227
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.20|None|0.66931805|0.62998938|0.65591398
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.50|None|0.71142824|0.67591893|0.66666667
ResNet50V2_Stack3|per frame (sum)|SVG|None|0.70745116|0.67040711|0.67281106
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.50|None|0.67224237|0.63541335|0.66310160
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.20|None|0.69821032|0.67572609|0.67924528
ResNet50V2_Stack3|per frame (sum)|BalancedDistributionSVG/500/21/0.30|None|0.70125161|0.67463309|0.67317073
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.20|(1, 1, 1)|0.65001755|0.62233318|0.62910798
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.70207042|0.67315640|0.65934066
ResNet50V2_Stack3|per frame (sum)|SVG|(1, 1, 1)|0.68674699|0.65105710|0.65178571
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.50|(1, 1, 1)|0.65376067|0.62957207|0.63101604
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.68452451|0.66594322|0.65168539
ResNet50V2_Stack3|per frame (sum)|BalancedDistributionSVG/500/21/0.30|(1, 1, 1)|0.68522634|0.66233990|0.66079295
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.20|(2, 2, 2)|0.62440051|0.60572431|0.62559242
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.69271260|0.65964805|0.65024631
ResNet50V2_Stack3|per frame (sum)|SVG|(2, 2, 2)|0.65843958|0.63235019|0.65000000
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.50|(2, 2, 2)|0.62978126|0.61107523|0.61940299
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.66346941|0.64666983|0.64591440
ResNet50V2_Stack3|per frame (sum)|BalancedDistributionSVG/500/21/0.30|(2, 2, 2)|0.65668499|0.64025558|0.65822785
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.20|(0, 1, 1)|0.66931805|0.62998938|0.65591398
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.71142824|0.67591893|0.66666667
ResNet50V2_Stack3|per frame (sum)|SVG|(0, 1, 1)|0.70745116|0.67040711|0.67281106
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.50|(0, 1, 1)|0.67224237|0.63541335|0.66310160
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.69821032|0.67572609|0.67924528
ResNet50V2_Stack3|per frame (sum)|BalancedDistributionSVG/500/21/0.30|(0, 1, 1)|0.70125161|0.67463309|0.67317073
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.20|(0, 2, 2)|0.66931805|0.62998938|0.65591398
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.71142824|0.67591893|0.66666667
ResNet50V2_Stack3|per frame (sum)|SVG|(0, 2, 2)|0.70745116|0.67040711|0.67281106
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.50|(0, 2, 2)|0.67224237|0.63541335|0.66310160
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.69821032|0.67572609|0.67924528
ResNet50V2_Stack3|per frame (sum)|BalancedDistributionSVG/500/21/0.30|(0, 2, 2)|0.70125161|0.67463309|0.67317073
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.20|(1, 0, 0)|0.65001755|0.62233318|0.62910798
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.70207042|0.67315640|0.65934066
ResNet50V2_Stack3|per frame (sum)|SVG|(1, 0, 0)|0.68674699|0.65105710|0.65178571
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.50|(1, 0, 0)|0.65376067|0.62957207|0.63101604
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.68452451|0.66594322|0.65168539
ResNet50V2_Stack3|per frame (sum)|BalancedDistributionSVG/500/21/0.30|(1, 0, 0)|0.68522634|0.66233990|0.66079295
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.20|(2, 0, 0)|0.62440051|0.60572431|0.62559242
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.69271260|0.65964805|0.65024631
ResNet50V2_Stack3|per frame (sum)|SVG|(2, 0, 0)|0.65843958|0.63235019|0.65000000
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/0.50|(2, 0, 0)|0.62978126|0.61107523|0.61940299
ResNet50V2_Stack3|per frame (sum)|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.66346941|0.64666983|0.64591440
ResNet50V2_Stack3|per frame (sum)|BalancedDistributionSVG/500/21/0.30|(2, 0, 0)|0.65668499|0.64025558|0.65822785
VGG16|per patch|BalancedDistributionSVG/500/19/0.30|None|0.93353015|0.45845023|0.47937672
VGG16|per patch|SpatialBin/SVG/0.20|None|0.96611158|0.52826167|0.58011869
VGG16|per patch|SpatialBin/SVG/simple_0.50|None|0.96320773|0.50825691|0.56600442
VGG16|per patch|SVG|None|0.94427631|0.45573353|0.47516663
VGG16|per patch|SpatialBin/SVG/0.50|None|0.96626974|0.53325355|0.58331375
VGG16|per patch|SpatialBin/SVG/simple_0.20|None|0.95812722|0.49205232|0.55426621
VGG16|per patch|BalancedDistributionSVG/500/19/0.30|(1, 1, 1)|0.95874158|0.54529418|0.55406746
VGG16|per patch|SpatialBin/SVG/0.20|(1, 1, 1)|0.96506773|0.48165401|0.55984556
VGG16|per patch|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.95786669|0.43925979|0.51121991
VGG16|per patch|SVG|(1, 1, 1)|0.95810741|0.52632926|0.53574788
VGG16|per patch|SpatialBin/SVG/0.50|(1, 1, 1)|0.96750176|0.50554291|0.57655909
VGG16|per patch|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.95824593|0.43403708|0.51293103
VGG16|per patch|BalancedDistributionSVG/500/19/0.30|(2, 2, 2)|0.94869663|0.50950374|0.50835073
VGG16|per patch|SpatialBin/SVG/0.20|(2, 2, 2)|0.94978589|0.38427530|0.49162731
VGG16|per patch|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.94167190|0.33373546|0.46034946
VGG16|per patch|SVG|(2, 2, 2)|0.94734398|0.49263889|0.49410559
VGG16|per patch|SpatialBin/SVG/0.50|(2, 2, 2)|0.95236793|0.40958609|0.50628445
VGG16|per patch|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.94164285|0.32623690|0.46232007
VGG16|per patch|BalancedDistributionSVG/500/19/0.30|(0, 1, 1)|0.95973540|0.56879065|0.57000785
VGG16|per patch|SpatialBin/SVG/0.20|(0, 1, 1)|0.96847000|0.54100879|0.58745713
VGG16|per patch|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.96446818|0.50386662|0.54185496
VGG16|per patch|SVG|(0, 1, 1)|0.96160719|0.55783797|0.56278366
VGG16|per patch|SpatialBin/SVG/0.50|(0, 1, 1)|0.96985250|0.55339140|0.59921799
VGG16|per patch|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.96457695|0.50091075|0.54658885
VGG16|per patch|BalancedDistributionSVG/500/19/0.30|(0, 2, 2)|0.96135107|0.60257076|0.60616342
VGG16|per patch|SpatialBin/SVG/0.20|(0, 2, 2)|0.96060794|0.49777247|0.56635319
VGG16|per patch|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.95604699|0.44431852|0.51441332
VGG16|per patch|SVG|(0, 2, 2)|0.96308088|0.60043920|0.60244233
VGG16|per patch|SpatialBin/SVG/0.50|(0, 2, 2)|0.96239888|0.51337627|0.58502674
VGG16|per patch|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.95752516|0.45014837|0.53193633
VGG16|per patch|BalancedDistributionSVG/500/19/0.30|(1, 0, 0)|0.94238709|0.45370988|0.48377445
VGG16|per patch|SpatialBin/SVG/0.20|(1, 0, 0)|0.96092257|0.46240357|0.54397468
VGG16|per patch|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.95538569|0.42139297|0.50372458
VGG16|per patch|SVG|(1, 0, 0)|0.94542106|0.44099771|0.47048497
VGG16|per patch|SpatialBin/SVG/0.50|(1, 0, 0)|0.96234496|0.47931237|0.55655558
VGG16|per patch|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.95268860|0.41453632|0.49657747
VGG16|per patch|BalancedDistributionSVG/500/19/0.30|(2, 0, 0)|0.92728366|0.39120032|0.42851100
VGG16|per patch|SpatialBin/SVG/0.20|(2, 0, 0)|0.94615874|0.38892633|0.48401196
VGG16|per patch|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.93835656|0.33869132|0.43008314
VGG16|per patch|SVG|(2, 0, 0)|0.92896601|0.37539791|0.41302005
VGG16|per patch|SpatialBin/SVG/0.50|(2, 0, 0)|0.94809795|0.40746012|0.49668165
VGG16|per patch|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.93724455|0.33357919|0.43259827
VGG16|per frame (max)|BalancedDistributionSVG/500/19/0.30|None|0.73985261|0.73191944|0.67346939
VGG16|per frame (max)|SpatialBin/SVG/0.20|None|0.77026553|0.73141212|0.71356784
VGG16|per frame (max)|SpatialBin/SVG/simple_0.50|None|0.77143526|0.76161558|0.68644068
VGG16|per frame (max)|SVG|None|0.73985261|0.73051514|0.68062827
VGG16|per frame (max)|SpatialBin/SVG/0.50|None|0.77810270|0.75054544|0.71502591
VGG16|per frame (max)|SpatialBin/SVG/simple_0.20|None|0.77330682|0.76478300|0.69005848
VGG16|per frame (max)|BalancedDistributionSVG/500/19/0.30|(1, 1, 1)|0.77447655|0.75167108|0.70103093
VGG16|per frame (max)|SpatialBin/SVG/0.20|(1, 1, 1)|0.78558896|0.70692472|0.72558140
VGG16|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.79249035|0.72868429|0.72277228
VGG16|per frame (max)|SVG|(1, 1, 1)|0.76383203|0.73959620|0.70526316
VGG16|per frame (max)|SpatialBin/SVG/0.50|(1, 1, 1)|0.78757749|0.75299715|0.70718232
VGG16|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.80933443|0.75557168|0.74736842
VGG16|per frame (max)|BalancedDistributionSVG/500/19/0.30|(2, 2, 2)|0.77658206|0.77486288|0.71764706
VGG16|per frame (max)|SpatialBin/SVG/0.20|(2, 2, 2)|0.77085039|0.67917369|0.71717172
VGG16|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.81015323|0.71127344|0.74345550
VGG16|per frame (max)|SVG|(2, 2, 2)|0.76932975|0.77455936|0.68852459
VGG16|per frame (max)|SpatialBin/SVG/0.50|(2, 2, 2)|0.76979764|0.73025938|0.71957672
VGG16|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.82465785|0.72794140|0.75000000
VGG16|per frame (max)|BalancedDistributionSVG/500/19/0.30|(0, 1, 1)|0.74429758|0.74401992|0.67924528
VGG16|per frame (max)|SpatialBin/SVG/0.20|(0, 1, 1)|0.78593988|0.75441334|0.73195876
VGG16|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.80138028|0.78767840|0.71356784
VGG16|per frame (max)|SVG|(0, 1, 1)|0.74242601|0.73567778|0.67973856
VGG16|per frame (max)|SpatialBin/SVG/0.50|(0, 1, 1)|0.78804539|0.77681300|0.71276596
VGG16|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.80290092|0.79330842|0.72093023
VGG16|per frame (max)|BalancedDistributionSVG/500/19/0.30|(0, 2, 2)|0.76149257|0.77957257|0.68263473
VGG16|per frame (max)|SpatialBin/SVG/0.20|(0, 2, 2)|0.79904082|0.77311243|0.74074074
VGG16|per frame (max)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.81506609|0.80348982|0.73291925
VGG16|per frame (max)|SVG|(0, 2, 2)|0.75927009|0.77454675|0.68831169
VGG16|per frame (max)|SpatialBin/SVG/0.50|(0, 2, 2)|0.79085273|0.78095236|0.72340426
VGG16|per frame (max)|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.81962803|0.81481790|0.73333333
VGG16|per frame (max)|BalancedDistributionSVG/500/19/0.30|(1, 0, 0)|0.76593754|0.72741345|0.72316384
VGG16|per frame (max)|SpatialBin/SVG/0.20|(1, 0, 0)|0.77482747|0.68898696|0.73913043
VGG16|per frame (max)|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.77623114|0.72285512|0.71351351
VGG16|per frame (max)|SVG|(1, 0, 0)|0.75927009|0.71738411|0.71641791
VGG16|per frame (max)|SpatialBin/SVG/0.50|(1, 0, 0)|0.78055913|0.73008032|0.72527473
VGG16|per frame (max)|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.79447889|0.72933747|0.76571429
VGG16|per frame (max)|BalancedDistributionSVG/500/19/0.30|(2, 0, 0)|0.75073108|0.69365356|0.73913043
VGG16|per frame (max)|SpatialBin/SVG/0.20|(2, 0, 0)|0.75540999|0.64352207|0.73118280
VGG16|per frame (max)|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.78465318|0.69551158|0.73267327
VGG16|per frame (max)|SVG|(2, 0, 0)|0.74008656|0.67539378|0.72820513
VGG16|per frame (max)|SpatialBin/SVG/0.50|(2, 0, 0)|0.76827699|0.70929274|0.74594595
VGG16|per frame (max)|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.79494678|0.69610605|0.75121951
VGG16|per frame (sum)|BalancedDistributionSVG/500/19/0.30|None|0.83027255|0.84707359|0.76000000
VGG16|per frame (sum)|SpatialBin/SVG/0.20|None|0.80582524|0.78575361|0.73333333
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.50|None|0.82313721|0.82708217|0.72483221
VGG16|per frame (sum)|SVG|None|0.82571061|0.84521374|0.76729560
VGG16|per frame (sum)|SpatialBin/SVG/0.50|None|0.80243303|0.78958504|0.72636816
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.20|None|0.82746520|0.84130385|0.75159236
VGG16|per frame (sum)|BalancedDistributionSVG/500/19/0.30|(1, 1, 1)|0.82547666|0.84072720|0.75949367
VGG16|per frame (sum)|SpatialBin/SVG/0.20|(1, 1, 1)|0.79599953|0.76006970|0.73469388
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.80874956|0.78262371|0.72251309
VGG16|per frame (sum)|SVG|(1, 1, 1)|0.81951105|0.83785945|0.75471698
VGG16|per frame (sum)|SpatialBin/SVG/0.50|(1, 1, 1)|0.79974266|0.78047063|0.71921182
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.82208445|0.78726179|0.72636816
VGG16|per frame (sum)|BalancedDistributionSVG/500/19/0.30|(2, 2, 2)|0.80524038|0.80730992|0.72258065
VGG16|per frame (sum)|SpatialBin/SVG/0.20|(2, 2, 2)|0.77482747|0.73082318|0.71356784
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.79892385|0.74333608|0.73118280
VGG16|per frame (sum)|SVG|(2, 2, 2)|0.79974266|0.80694063|0.72727273
VGG16|per frame (sum)|SpatialBin/SVG/0.50|(2, 2, 2)|0.77938940|0.75044766|0.70707071
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.81670371|0.73346091|0.73202614
VGG16|per frame (sum)|BalancedDistributionSVG/500/19/0.30|(0, 1, 1)|0.83027255|0.84707359|0.76000000
VGG16|per frame (sum)|SpatialBin/SVG/0.20|(0, 1, 1)|0.80582524|0.78575361|0.73333333
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.82313721|0.82708217|0.72483221
VGG16|per frame (sum)|SVG|(0, 1, 1)|0.82571061|0.84521374|0.76729560
VGG16|per frame (sum)|SpatialBin/SVG/0.50|(0, 1, 1)|0.80243303|0.78958504|0.72636816
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.82746520|0.84130385|0.75159236
VGG16|per frame (sum)|BalancedDistributionSVG/500/19/0.30|(0, 2, 2)|0.83027255|0.84707359|0.76000000
VGG16|per frame (sum)|SpatialBin/SVG/0.20|(0, 2, 2)|0.80582524|0.78575361|0.73333333
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.82313721|0.82708217|0.72483221
VGG16|per frame (sum)|SVG|(0, 2, 2)|0.82571061|0.84521374|0.76729560
VGG16|per frame (sum)|SpatialBin/SVG/0.50|(0, 2, 2)|0.80243303|0.78958504|0.72636816
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.82746520|0.84130385|0.75159236
VGG16|per frame (sum)|BalancedDistributionSVG/500/19/0.30|(1, 0, 0)|0.82547666|0.84072720|0.75949367
VGG16|per frame (sum)|SpatialBin/SVG/0.20|(1, 0, 0)|0.79599953|0.76006970|0.73469388
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.80874956|0.78262371|0.72251309
VGG16|per frame (sum)|SVG|(1, 0, 0)|0.81951105|0.83785945|0.75471698
VGG16|per frame (sum)|SpatialBin/SVG/0.50|(1, 0, 0)|0.79974266|0.78047063|0.71921182
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.20|(1, 0, 0)|0.82208445|0.78726179|0.72636816
VGG16|per frame (sum)|BalancedDistributionSVG/500/19/0.30|(2, 0, 0)|0.80524038|0.80730992|0.72258065
VGG16|per frame (sum)|SpatialBin/SVG/0.20|(2, 0, 0)|0.77482747|0.73082318|0.71356784
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.50|(2, 0, 0)|0.79892385|0.74333608|0.73118280
VGG16|per frame (sum)|SVG|(2, 0, 0)|0.79974266|0.80694063|0.72727273
VGG16|per frame (sum)|SpatialBin/SVG/0.50|(2, 0, 0)|0.77938940|0.75044766|0.70707071
VGG16|per frame (sum)|SpatialBin/SVG/simple_0.20|(2, 0, 0)|0.81670371|0.73346091|0.73202614
C3D_Block4|per patch|BalancedDistributionSVG/500/19/0.30|None|0.86016686|0.26731820|0.35822593
C3D_Block4|per patch|SpatialBin/SVG/0.20|None|0.91176977|0.34939774|0.47914343
C3D_Block4|per patch|SpatialBin/SVG/simple_0.50|None|0.91576721|0.33634016|0.47508170
C3D_Block4|per patch|SVG|None|0.87771266|0.27192167|0.35818277
C3D_Block4|per patch|SpatialBin/SVG/0.50|None|0.91234784|0.34311695|0.47791725
C3D_Block4|per patch|SpatialBin/SVG/simple_0.20|None|0.91363944|0.34423284|0.46482248
C3D_Block4|per patch|BalancedDistributionSVG/500/19/0.30|(1, 1, 1)|0.88738692|0.29523062|0.37250122
C3D_Block4|per patch|SpatialBin/SVG/0.20|(1, 1, 1)|0.93941129|0.37342049|0.50827188
C3D_Block4|per patch|SpatialBin/SVG/simple_0.50|(1, 1, 1)|0.94867106|0.38156848|0.51959114
C3D_Block4|per patch|SVG|(1, 1, 1)|0.89911381|0.29076371|0.36196752
C3D_Block4|per patch|SpatialBin/SVG/0.50|(1, 1, 1)|0.94101374|0.37887089|0.51354731
C3D_Block4|per patch|SpatialBin/SVG/simple_0.20|(1, 1, 1)|0.95063554|0.39103490|0.52047351
C3D_Block4|per patch|BalancedDistributionSVG/500/19/0.30|(2, 2, 2)|0.88913366|0.31549643|0.37188435
C3D_Block4|per patch|SpatialBin/SVG/0.20|(2, 2, 2)|0.93398634|0.33046745|0.46310803
C3D_Block4|per patch|SpatialBin/SVG/simple_0.50|(2, 2, 2)|0.94889491|0.37148014|0.51457976
C3D_Block4|per patch|SVG|(2, 2, 2)|0.89751339|0.30293601|0.36098070
C3D_Block4|per patch|SpatialBin/SVG/0.50|(2, 2, 2)|0.93779683|0.35177339|0.47755184
C3D_Block4|per patch|SpatialBin/SVG/simple_0.20|(2, 2, 2)|0.94884893|0.36309379|0.50289017
C3D_Block4|per patch|BalancedDistributionSVG/500/19/0.30|(0, 1, 1)|0.88135871|0.30298000|0.38669101
C3D_Block4|per patch|SpatialBin/SVG/0.20|(0, 1, 1)|0.93147288|0.38890877|0.52916389
C3D_Block4|per patch|SpatialBin/SVG/simple_0.50|(0, 1, 1)|0.93680858|0.37474761|0.51826822
C3D_Block4|per patch|SVG|(0, 1, 1)|0.89376949|0.29990997|0.38009823
C3D_Block4|per patch|SpatialBin/SVG/0.50|(0, 1, 1)|0.93213788|0.38159669|0.52964760
C3D_Block4|per patch|SpatialBin/SVG/simple_0.20|(0, 1, 1)|0.93835235|0.38465926|0.51639685
C3D_Block4|per patch|BalancedDistributionSVG/500/19/0.30|(0, 2, 2)|0.88823650|0.34241663|0.41613152
C3D_Block4|per patch|SpatialBin/SVG/0.20|(0, 2, 2)|0.93199001|0.38764518|0.52245233
C3D_Block4|per patch|SpatialBin/SVG/simple_0.50|(0, 2, 2)|0.94074018|0.38404450|0.52251023
C3D_Block4|per patch|SVG|(0, 2, 2)|0.89948563|0.33589018|0.40788072
C3D_Block4|per patch|SpatialBin/SVG/0.50|(0, 2, 2)|0.93352402|0.38331459|0.52102653
C3D_Block4|per patch|SpatialBin/SVG/simple_0.20|(0, 2, 2)|0.93982538|0.37159429|0.51853386
C3D_Block4|per patch|BalancedDistributionSVG/500/19/0.30|(1, 0, 0)|0.87191906|0.26318635|0.35752330
C3D_Block4|per patch|SpatialBin/SVG/0.20|(1, 0, 0)|0.92386146|0.34339085|0.47434783
C3D_Block4|per patch|SpatialBin/SVG/simple_0.50|(1, 0, 0)|0.93005359|0.34427345|0.46721833
C3D_Block4|per patch|SVG|(1, 0, 0)|0.88682133|0.26487951|0.35154730
C3D_Block4|per patch|SpatialBin/SVG/0.50|(1, 0, 0)|0.92488005|0.34547153|0.47884867
